id;code;description;percentage
e149b29a-10fb-4257-b38f-6895128b2354;Saint copy;../fake-data/blob/hipster.txt;14135
4ef13606-aba9-456c-8f8b-8481ee9b6fb8;Avon Ergonomic visualize;../fake-data/blob/hipster.txt;2691
3a6c9d11-7dd8-432a-b5a4-0345d292eb7c;Seychelles;../fake-data/blob/hipster.txt;43691
5e1b6488-5733-49d6-bf29-94ade433bd77;gold Kwanza;../fake-data/blob/hipster.txt;18028
4033074a-b958-46d6-9117-4e649383e9ec;compress port strategic;../fake-data/blob/hipster.txt;26918
4eafab54-3bf7-4c8e-97f4-69e874eeaf17;Rupee Shoes;../fake-data/blob/hipster.txt;13734
d5193b7d-4d02-497d-87a8-df317cfb9cdf;Cambridgeshire Wallis;../fake-data/blob/hipster.txt;14065
0692b3b5-2fe8-4783-b102-7a7cb29d463a;matrix benchmark content-based;../fake-data/blob/hipster.txt;69294
c64d9930-efb0-4cf0-9b89-e994156cde70;invoice;../fake-data/blob/hipster.txt;977
f4603dfa-0d7a-4565-b094-c8d469739452;Bedfordshire;../fake-data/blob/hipster.txt;10591
