id;code;description;percentage
e2214c61-7651-492b-8c96-a0701461dfc1;data-warehouse;../fake-data/blob/hipster.txt;50537
417c8c65-af6e-411a-b663-eba056c1cdbc;Soft Dynamic;../fake-data/blob/hipster.txt;34078
114985b0-132e-4671-bdb7-c36237c921bf;Executive;../fake-data/blob/hipster.txt;18648
27995fc3-096c-4852-916b-e4efe1cf9cc5;Account ivory Swaziland;../fake-data/blob/hipster.txt;33144
ce7a1a53-48e1-483d-9235-2fff647532ff;Cuban online copying;../fake-data/blob/hipster.txt;67562
9b5a65f7-9e2a-4d7b-9827-ab83b13da1a2;Incredible;../fake-data/blob/hipster.txt;3103
b6e4f306-8138-456b-8106-351c6ee538a5;database Division;../fake-data/blob/hipster.txt;6581
ed414988-7b43-4380-b7b8-edbfa81d8683;Reduced niches;../fake-data/blob/hipster.txt;77886
ef0ca996-00b0-4d8f-9822-8122d08cc5bc;visionary Sleek initiatives;../fake-data/blob/hipster.txt;2472
45010050-12f6-461d-9e0e-2d11da180167;bypassing;../fake-data/blob/hipster.txt;35656
